Region,Unit Code,Date/Time Beginning (EST),Date/Time End (EST),Economic Max,Economic Min,Emergency Max,Emergency Min,Economic Flag,Emergency Flag,Must Run Flag,Unit Available Flag,Self Scheduled MW,Target MW Reduction,MW,Curtailment Offer Price,Price1,MW1,Price2,MW2,Price3,MW3,Price4,MW4,Price5,MW5,Price6,MW6,Price7,MW7,Price8,MW8,Price9,MW9,Price10,MW10,Slope
North,A3153,10/07/2020 00:00:00,10/07/2020 01:00:00,299,186,299,186,1,0,0,1,0,,186,,8.16,1,9.54,246,14.27,247,14.28,319,,,,,,,,,,,,,1
Central,A3165,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,7.56,0,10.77,180,11.31,210,11.84,240,12.38,270,12.91,300,,,,,,,,,1
Central,A3167,10/07/2020 00:00:00,10/07/2020 01:00:00,600.5,330,608.5,330,0,0,1,1,0,,456.8,,8.74,330,8.83,340,8.83,340.1,8.83,340.2,8.83,340.3,12.87,530.5,15.87,530.6,15.87,580.4,37.87,580.5,37.87,630,1
Central,A3174,10/07/2020 00:00:00,10/07/2020 01:00:00,499,250,499,250,0,0,1,1,0,,250,,20.2,250,20.51,280,20.81,310,21.12,340,21.42,370,21.73,400,22.03,430,22.34,460,22.64,490,22.8,505,0
Central,A3175,10/07/2020 00:00:00,10/07/2020 01:00:00,495,250,495,250,1,0,0,1,0,,0,,20.13,250,20.59,280,21.04,310,21.5,340,21.96,370,22.42,400,22.87,430,23.33,460,23.79,490,23.96,501,0
Central,A3178,10/07/2020 00:00:00,10/07/2020 01:00:00,42,23,42,22,1,0,0,1,0,,0,,19.05,23,19.55,42,,,,,,,,,,,,,,,,,0
Central,A3179,10/07/2020 00:00:00,10/07/2020 01:00:00,42,23,42,22,1,0,0,1,0,,0,,19.12,23,19.62,42,,,,,,,,,,,,,,,,,0
Central,A3180,10/07/2020 00:00:00,10/07/2020 01:00:00,42,23,42,22,1,0,0,1,0,,0,,19.38,23,19.48,42,,,,,,,,,,,,,,,,,0
Central,A3181,10/07/2020 00:00:00,10/07/2020 01:00:00,42,23,42,22,1,0,0,1,0,,0,,19.07,23,20.3,42,,,,,,,,,,,,,,,,,0
Central,A3182,10/07/2020 00:00:00,10/07/2020 01:00:00,73.7,50,78.7,50,1,0,0,1,0,,0,,17.47,0,17.47,73.7,52.41,78.7,,,,,,,,,,,,,,,0
Central,A3183,10/07/2020 00:00:00,10/07/2020 01:00:00,73.7,50,78.7,50,1,0,0,1,0,,0,,17.47,0,17.47,73.7,52.41,78.7,,,,,,,,,,,,,,,0
Central,A3184,10/07/2020 00:00:00,10/07/2020 01:00:00,76,45,76,45,1,0,0,1,45,,0,,19.86,45,19.86,49.2,19.86,53.4,19.86,57.6,19.86,61.8,19.86,66,19.86,70.2,20.56,74.4,21.46,78.6,22.56,82.8,1
Central,A3197,10/07/2020 00:00:00,10/07/2020 01:00:00,102,72,110,72,0,0,0,0,0,,0,,21.69,72,21.7,95,21.71,100,28.32,108,75.01,110,,,,,,,,,,,0
Central,A3198,10/07/2020 00:00:00,10/07/2020 01:00:00,154,116,166,116,0,0,0,0,0,,0,,18.35,116,18.36,128,18.37,154,26.35,158,31.35,160,,,,,,,,,,,0
North,A3200,10/07/2020 00:00:00,10/07/2020 01:00:00,2.1,0,2.1,0,0,0,1,1,2.1,,2.1,,0,0,0,200,,,,,,,,,,,,,,,,,1
Central,A3205,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,1,0,0,1,0,,0,,0,1,0,2,,,,,,,,,,,,,,,,,0
North,A3213,10/07/2020 00:00:00,10/07/2020 01:00:00,9.9,0,9.9,0,0,0,1,1,44,,9.9,,-1,0,0,43,,,,,,,,,,,,,,,,,1
North,A3215,10/07/2020 00:00:00,10/07/2020 01:00:00,25.3,0,25.3,0,0,0,1,1,25.3,,25.3,,0,0,0,200,,,,,,,,,,,,,,,,,1
North,A3220,10/07/2020 00:00:00,10/07/2020 01:00:00,5.5,5.5,7.1,5.5,1,0,0,1,0,,0,,74.78,6,77.68,8.4,,,,,,,,,,,,,,,,,1
North,A3375,10/07/2020 00:00:00,10/07/2020 01:00:00,7.8,0,7.8,0,0,0,1,1,7.8,,7.8,,0,0,0,200,,,,,,,,,,,,,,,,,1
Central,A3385,10/07/2020 00:00:00,10/07/2020 01:00:00,47,4,50,3,0,0,0,0,0,,0,,24.31,0.1,25.2,10,25.66,15,26.11,20,26.56,25,27.01,30,27.47,35,27.92,40,28.37,45,,,1
Central,A3386,10/07/2020 00:00:00,10/07/2020 01:00:00,47,4,47,3,1,0,0,1,0,,0,,23.73,0.1,24.94,10,26.16,20,27.38,30,27.99,35,28.6,40,29.21,45,,,,,,,1
Central,A3399,10/07/2020 00:00:00,10/07/2020 01:00:00,13,13,13,13,1,0,0,1,0,,0,,92.44,12.5,,,,,,,,,,,,,,,,,,,0
Central,A3400,10/07/2020 00:00:00,10/07/2020 01:00:00,82,82,82,82,1,0,0,1,0,,0,,15.82,51,15.82,93,,,,,,,,,,,,,,,,,0
Central,A3401,10/07/2020 00:00:00,10/07/2020 01:00:00,78,78,78,78,0,0,0,0,0,,0,,16.75,51,16.75,93,,,,,,,,,,,,,,,,,0
Central,A3402,10/07/2020 00:00:00,10/07/2020 01:00:00,81,81,81,81,1,0,0,1,0,,0,,17.82,51,17.82,93,,,,,,,,,,,,,,,,,0
North,A3407,10/07/2020 00:00:00,10/07/2020 01:00:00,13.4,5,13.4,5,1,0,0,1,0,,0,,45.03,0,45.41,5,45.48,6,45.56,7,45.63,8,45.71,9,45.78,10,45.86,11,45.94,12,46.01,13,1
North,A3408,10/07/2020 00:00:00,10/07/2020 01:00:00,13.4,5,13.4,5,0,0,0,0,0,,0,,45.03,0,45.41,5,45.48,6,45.56,7,45.63,8,45.71,9,45.78,10,45.86,11,45.94,12,46.01,13,1
North,A3409,10/07/2020 00:00:00,10/07/2020 01:00:00,13,5,13,5,1,0,0,1,0,,0,,45.03,0,45.41,5,45.48,6,45.56,7,45.63,8,45.71,9,45.78,10,45.86,11,45.94,12,46.01,13,1
North,A3410,10/07/2020 00:00:00,10/07/2020 01:00:00,6,5,6,5,1,0,0,1,0,,0,,45.03,0,45.41,5,45.48,6,45.56,7,45.63,8,45.71,9,45.78,10,45.86,11,45.94,12,46.01,13,1
North,A3411,10/07/2020 00:00:00,10/07/2020 01:00:00,193,87,210,80,0,0,1,1,0,,87,,13.34,0,14.94,85,15.2,99,15.46,113,15.72,127,15.98,141,16.25,155,16.51,169,16.77,183,17.04,197,1
Central,A3419,10/07/2020 00:00:00,10/07/2020 01:00:00,485,300,490,300,0,0,1,1,0,,300,,17.44,0,18.46,300,60,301,63,320,67,410,70,505,,,,,,,,,1
Central,A3420,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,17.71,0,18.76,265,18.99,324,19.22,383,19.45,441,19.69,500,,,,,,,,,1
Central,A3421,10/07/2020 00:00:00,10/07/2020 01:00:00,90,65,90,50,1,0,0,1,0,,0,,36.86,0,38.2,50,38.47,60,38.74,70,39.01,80,39.28,90,,,,,,,,,1
North,A3427,10/07/2020 00:00:00,10/07/2020 01:00:00,36.8,0,36.8,0,0,0,1,1,14.8,,36.8,,-35.51,1,-35.51,42,,,,,,,,,,,,,,,,,1
Central,A3446,10/07/2020 00:00:00,10/07/2020 01:00:00,119,80,119,80,1,0,0,1,0,,0,,52.96,0,54.67,45,55.37,64,56.07,82,56.78,101,57.48,119,,,,,,,,,1
Central,A3447,10/07/2020 00:00:00,10/07/2020 01:00:00,119,80,119,80,1,0,0,1,0,,0,,52.96,0,54.67,45,55.37,64,56.07,82,56.78,101,57.48,119,,,,,,,,,1
Central,A3448,10/07/2020 00:00:00,10/07/2020 01:00:00,119,80,119,80,1,0,0,1,0,,0,,52.96,0,54.67,45,55.37,64,56.07,82,56.78,101,57.48,119,,,,,,,,,1
Central,A3449,10/07/2020 00:00:00,10/07/2020 01:00:00,119,80,119,80,1,0,0,1,0,,0,,52.96,0,54.67,45,55.37,64,56.07,82,56.78,101,57.48,119,,,,,,,,,1
Central,A3454,10/07/2020 00:00:00,10/07/2020 01:00:00,13,13,13,13,1,0,0,1,0,,0,,104.77,12.5,,,,,,,,,,,,,,,,,,,0
Central,A3455,10/07/2020 00:00:00,10/07/2020 01:00:00,153,36,154,36,0,0,1,1,0,,36,,16.52,36,16.79,49.2,17.07,62.4,17.35,75.7,17.63,88.9,17.91,102.1,18.18,115.3,18.46,128.6,18.74,141.8,19.02,155,1
Central,A3456,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,15.67,0,15.67,0.1,15.67,0.2,15.67,0.3,15.68,0.4,15.68,0.6,15.68,0.7,15.68,0.8,15.69,0.9,15.69,1,1
Central,A3457,10/07/2020 00:00:00,10/07/2020 01:00:00,297,70,300,70,0,0,1,1,0,,70,,16.55,0,17.4,76,17.69,104,17.98,132,18.27,160,18.57,188,18.86,216,19.15,244,19.45,272,19.74,300,1
Central,A3458,10/07/2020 00:00:00,10/07/2020 01:00:00,297,70,302,70,0,0,0,0,0,,0,,16.61,0,17.64,83,17.94,108.2,18.24,133.5,18.54,158.8,18.84,184,19.14,209.2,19.44,234.5,19.75,259.8,20.05,285,1
Central,A3513,10/07/2020 00:00:00,10/07/2020 01:00:00,58,41,60,35,1,0,0,1,0,,0,,24.33,35,24.86,40,24.96,41,25.91,50,26.44,55,26.97,60,27.49,65,,,,,,,1
Central,A3514,10/07/2020 00:00:00,10/07/2020 01:00:00,46,40,48,39,1,0,0,1,0,,0,,25.7,48,25.87,49.6,26.04,51.2,26.21,52.8,26.37,54.4,26.54,56,26.97,60,,,,,,,1
Central,A3515,10/07/2020 00:00:00,10/07/2020 01:00:00,150,98,179.2,75,0,0,0,0,0,,0,,20.13,85,21.75,110,23.05,130,23.5,137,24.8,157,26.03,176,26.48,183,,,,,,,1
Central,A3518,10/07/2020 00:00:00,10/07/2020 01:00:00,171,60,176,55,1,0,0,1,0,,0,,17.17,55,17.92,68.6,18.66,82.1,19.41,95.7,20.16,109.2,20.9,122.8,21.65,136.3,22.4,149.9,23.14,163.4,23.89,177,1
Central,A3519,10/07/2020 00:00:00,10/07/2020 01:00:00,156,156,156,156,1,0,0,1,0,,0,,20.34,192,,,,,,,,,,,,,,,,,,,0
