id,node,capacity (MW),offer ($/MW),type
A3153_0,North,1.0,8.16,inflexible
A3153_1,North,245.0,9.54,inflexible
A3153_2,North,1.0,14.27,inflexible
A3153_3,North,72.0,14.28,inflexible
A3167_0,Central,330.0,8.74,inflexible
A3167_1,Central,10.300000000000011,8.83,inflexible
A3167_2,Central,190.2,12.87,inflexible
A3167_3,Central,49.89999999999998,15.87,inflexible
A3167_4,Central,0.1000000000000227,37.87,inflexible
A3174_0,Central,250.0,20.2,inflexible
A3174_1,Central,30.0,20.51,inflexible
A3174_2,Central,30.0,20.81,inflexible
A3174_3,Central,30.0,21.12,inflexible
A3174_4,Central,30.0,21.42,inflexible
A3174_5,Central,30.0,21.73,inflexible
A3174_6,Central,30.0,22.03,inflexible
A3174_7,Central,30.0,22.34,inflexible
A3174_8,Central,30.0,22.64,inflexible
A3175_0,Central,250.0,20.13,inflexible
A3175_1,Central,30.0,20.59,inflexible
A3175_2,Central,30.0,21.04,inflexible
A3175_3,Central,30.0,21.5,inflexible
A3175_4,Central,30.0,21.96,inflexible
A3175_5,Central,30.0,22.42,inflexible
A3175_6,Central,30.0,22.87,inflexible
A3175_7,Central,30.0,23.33,inflexible
A3175_8,Central,30.0,23.79,inflexible
A3178_0,Central,23.0,19.05,inflexible
A3178_1,Central,19.0,19.55,inflexible
A3179_0,Central,23.0,19.12,inflexible
A3179_1,Central,19.0,19.62,inflexible
A3180_0,Central,23.0,19.38,inflexible
A3180_1,Central,19.0,19.48,inflexible
A3181_0,Central,23.0,19.07,inflexible
A3181_1,Central,19.0,20.3,inflexible
A3182_0,Central,73.7,17.47,inflexible
A3182_1,Central,5.0,52.41,flexible
A3183_0,Central,73.7,17.47,inflexible
A3183_1,Central,5.0,52.41,flexible
A3184_0,Central,70.2,19.86,inflexible
A3184_1,Central,4.200000000000003,20.56,inflexible
A3184_2,Central,4.199999999999989,21.46,inflexible
A3200,North,200.0,0.0,wind
A3205,Central,2.0,0.0,wind
A3213,North,43.0,0.0,wind
A3215,North,200.0,0.0,wind
A3220_0,North,6.0,74.78,flexible
A3220_1,North,2.4000000000000004,77.68,flexible
A3375,North,200.0,0.0,wind
A3386_0,Central,0.1,23.73,inflexible
A3386_1,Central,9.9,24.94,inflexible
A3386_2,Central,10.0,26.16,inflexible
A3386_3,Central,10.0,27.38,inflexible
A3386_4,Central,5.0,27.99,inflexible
A3386_5,Central,5.0,28.6,inflexible
A3386_6,Central,5.0,29.21,inflexible
A3399,Central,12.5,92.44,flexible
A3400,Central,93.0,15.82,inflexible
A3402,Central,93.0,17.82,inflexible
A3407_0,North,5.0,45.41,flexible
A3407_1,North,1.0,45.48,flexible
A3407_2,North,1.0,45.56,flexible
A3407_3,North,1.0,45.63,flexible
A3407_4,North,1.0,45.71,flexible
A3407_5,North,1.0,45.78,flexible
A3407_6,North,1.0,45.86,flexible
A3407_7,North,1.0,45.94,flexible
A3409_0,North,5.0,45.41,flexible
A3409_1,North,1.0,45.48,flexible
A3409_2,North,1.0,45.56,flexible
A3409_3,North,1.0,45.63,flexible
A3409_4,North,1.0,45.71,flexible
A3409_5,North,1.0,45.78,flexible
A3409_6,North,1.0,45.86,flexible
A3409_7,North,1.0,45.94,flexible
A3410_0,North,5.0,45.41,flexible
A3410_1,North,1.0,45.48,flexible
A3410_2,North,1.0,45.56,flexible
A3410_3,North,1.0,45.63,flexible
A3410_4,North,1.0,45.71,flexible
A3410_5,North,1.0,45.78,flexible
A3410_6,North,1.0,45.86,flexible
A3410_7,North,1.0,45.94,flexible
A3411_0,North,85.0,14.94,inflexible
A3411_1,North,14.0,15.2,inflexible
A3411_2,North,14.0,15.46,inflexible
A3411_3,North,14.0,15.72,inflexible
A3411_4,North,14.0,15.98,inflexible
A3411_5,North,14.0,16.25,inflexible
A3411_6,North,14.0,16.51,inflexible
A3411_7,North,14.0,16.77,inflexible
A3419_0,Central,300.0,18.46,inflexible
A3419_1,Central,1.0,60.0,flexible
A3419_2,Central,19.0,63.0,flexible
A3419_3,Central,90.0,67.0,flexible
A3419_4,Central,95.0,70.0,flexible
A3421_0,Central,50.0,38.2,inflexible
A3421_1,Central,10.0,38.47,flexible
A3421_2,Central,10.0,38.74,flexible
A3421_3,Central,10.0,39.01,flexible
A3421_4,Central,10.0,39.28,flexible
A3427,North,42.0,-35.51,wind
A3446_0,Central,45.0,54.67,flexible
A3446_1,Central,19.0,55.37,flexible
A3446_2,Central,18.0,56.07,flexible
A3446_3,Central,19.0,56.78,flexible
A3446_4,Central,18.0,57.48,flexible
A3447_0,Central,45.0,54.67,flexible
A3447_1,Central,19.0,55.37,flexible
A3447_2,Central,18.0,56.07,flexible
A3447_3,Central,19.0,56.78,flexible
A3447_4,Central,18.0,57.48,flexible
A3448_0,Central,45.0,54.67,flexible
A3448_1,Central,19.0,55.37,flexible
A3448_2,Central,18.0,56.07,flexible
A3448_3,Central,19.0,56.78,flexible
A3448_4,Central,18.0,57.48,flexible
A3449_0,Central,45.0,54.67,flexible
A3449_1,Central,19.0,55.37,flexible
A3449_2,Central,18.0,56.07,flexible
A3449_3,Central,19.0,56.78,flexible
A3449_4,Central,18.0,57.48,flexible
A3454,Central,12.5,104.77,flexible
A3455_0,Central,36.0,16.52,inflexible
A3455_1,Central,13.200000000000005,16.79,inflexible
A3455_2,Central,13.199999999999996,17.07,inflexible
A3455_3,Central,13.300000000000004,17.35,inflexible
A3455_4,Central,13.200000000000005,17.63,inflexible
A3455_5,Central,13.199999999999989,17.91,inflexible
A3455_6,Central,13.200000000000005,18.18,inflexible
A3455_7,Central,13.299999999999995,18.46,inflexible
A3455_8,Central,13.200000000000015,18.74,inflexible
A3457_0,Central,76.0,17.4,inflexible
A3457_1,Central,28.0,17.69,inflexible
A3457_2,Central,28.0,17.98,inflexible
A3457_3,Central,28.0,18.27,inflexible
A3457_4,Central,28.0,18.57,inflexible
A3457_5,Central,28.0,18.86,inflexible
A3457_6,Central,28.0,19.15,inflexible
A3457_7,Central,28.0,19.45,inflexible
A3513_0,Central,35.0,24.33,inflexible
A3513_1,Central,5.0,24.86,inflexible
A3513_2,Central,1.0,24.96,inflexible
A3513_3,Central,9.0,25.91,inflexible
A3513_4,Central,5.0,26.44,inflexible
A3513_5,Central,5.0,26.97,inflexible
A3513_6,Central,5.0,27.49,inflexible
A3514_0,Central,48.0,25.7,inflexible
A3514_1,Central,1.6000000000000014,25.87,inflexible
A3514_2,Central,1.6000000000000014,26.04,inflexible
A3514_3,Central,1.5999999999999943,26.21,inflexible
A3514_4,Central,1.6000000000000014,26.37,inflexible
A3514_5,Central,1.6000000000000014,26.54,inflexible
A3514_6,Central,4.0,26.97,inflexible
A3518_0,Central,55.0,17.17,inflexible
A3518_1,Central,13.599999999999994,17.92,inflexible
A3518_2,Central,13.5,18.66,inflexible
A3518_3,Central,13.600000000000009,19.41,inflexible
A3518_4,Central,13.5,20.16,inflexible
A3518_5,Central,13.599999999999994,20.9,inflexible
A3518_6,Central,13.500000000000014,21.65,inflexible
A3518_7,Central,13.599999999999994,22.4,inflexible
A3518_8,Central,13.5,23.14,inflexible
A3519,Central,192.0,20.34,inflexible
A3520,Central,192.0,21.59,inflexible
A3545,Central,79.0,19.56,inflexible
