id,node,capacity (MW),offer ($/MW)
A3153_0,North,1.0,8.16
A3153_1,North,245.0,9.54
A3153_2,North,1.0,14.27
A3153_3,North,72.0,14.28
A3167_0,Central,330.0,8.74
A3167_1,Central,10.300000000000011,8.83
A3167_2,Central,190.2,12.87
A3167_3,Central,49.89999999999998,15.87
A3167_4,Central,0.10000000000002274,37.87
A3174_0,Central,250.0,20.2
A3174_1,Central,30.0,20.51
A3174_2,Central,30.0,20.81
A3174_3,Central,30.0,21.12
A3174_4,Central,30.0,21.42
A3174_5,Central,30.0,21.73
A3174_6,Central,30.0,22.03
A3174_7,Central,30.0,22.34
A3174_8,Central,30.0,22.64
A3175_0,Central,250.0,20.13
A3175_1,Central,30.0,20.59
A3175_2,Central,30.0,21.04
A3175_3,Central,30.0,21.5
A3175_4,Central,30.0,21.96
A3175_5,Central,30.0,22.42
A3175_6,Central,30.0,22.87
A3175_7,Central,30.0,23.33
A3175_8,Central,30.0,23.79
A3178_0,Central,23.0,19.05
A3178_1,Central,19.0,19.55
A3179_0,Central,23.0,19.12
A3179_1,Central,19.0,19.62
A3180_0,Central,23.0,19.38
A3180_1,Central,19.0,19.48
A3181_0,Central,23.0,19.07
A3181_1,Central,19.0,20.3
A3182_0,Central,73.7,17.47
A3182_1,Central,5.0,52.41
A3183_0,Central,73.7,17.47
A3183_1,Central,5.0,52.41
A3184_0,Central,70.2,19.86
A3184_1,Central,4.200000000000003,20.56
A3184_2,Central,4.199999999999989,21.46
A3200,North,200.0,0.0
A3205,Central,2.0,0.0
A3213,North,43.0,0.0
A3215,North,200.0,0.0
A3220_0,North,6.0,74.78
A3220_1,North,2.4000000000000004,77.68
A3375,North,200.0,0.0
A3386_0,Central,0.1,23.73
A3386_1,Central,9.9,24.94
A3386_2,Central,10.0,26.16
A3386_3,Central,10.0,27.38
A3386_4,Central,5.0,27.99
A3386_5,Central,5.0,28.6
A3386_6,Central,5.0,29.21
A3399,Central,12.5,92.44
A3400,Central,93.0,15.82
A3402,Central,93.0,17.82
A3407_0,North,5.0,45.41
A3407_1,North,1.0,45.48
A3407_2,North,1.0,45.56
A3407_3,North,1.0,45.63
A3407_4,North,1.0,45.71
A3407_5,North,1.0,45.78
A3407_6,North,1.0,45.86
A3407_7,North,1.0,45.94
A3409_0,North,5.0,45.41
A3409_1,North,1.0,45.48
A3409_2,North,1.0,45.56
A3409_3,North,1.0,45.63
A3409_4,North,1.0,45.71
A3409_5,North,1.0,45.78
A3409_6,North,1.0,45.86
A3409_7,North,1.0,45.94
A3410_0,North,5.0,45.41
A3410_1,North,1.0,45.48
A3410_2,North,1.0,45.56
A3410_3,North,1.0,45.63
A3410_4,North,1.0,45.71
A3410_5,North,1.0,45.78
A3410_6,North,1.0,45.86
A3410_7,North,1.0,45.94
A3411_0,North,85.0,14.94
A3411_1,North,14.0,15.2
A3411_2,North,14.0,15.46
A3411_3,North,14.0,15.72
A3411_4,North,14.0,15.98
A3411_5,North,14.0,16.25
A3411_6,North,14.0,16.51
A3411_7,North,14.0,16.77
A3419_0,Central,300.0,18.46
A3419_1,Central,1.0,60.0
A3419_2,Central,19.0,63.0
A3419_3,Central,90.0,67.0
A3419_4,Central,95.0,70.0
A3421_0,Central,50.0,38.2
A3421_1,Central,10.0,38.47
A3421_2,Central,10.0,38.74
A3421_3,Central,10.0,39.01
A3421_4,Central,10.0,39.28
A3427,North,42.0,-35.51
A3446_0,Central,45.0,54.67
A3446_1,Central,19.0,55.37
