Actual Aggregated Generation Per Type (B1620)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGPT-TS-21613754,Production,"Biomass",2020-06-29,30,1085
NGET-EMFIP-AGPT-TS-21613753,Production,"Hydro Pumped Storage",2020-06-29,30,366
NGET-EMFIP-AGPT-TS-21613752,Production,"Hydro Run-of-river and poundage",2020-06-29,30,371
NGET-EMFIP-AGPT-TS-21613751,Production,"Fossil Hard coal",2020-06-29,30,0
NGET-EMFIP-AGPT-TS-21613750,Production,"Fossil Gas",2020-06-29,30,6310
NGET-EMFIP-AGPT-TS-21613749,Production,"Fossil Oil",2020-06-29,30,0
NGET-EMFIP-AGPT-TS-21613748,Production,"Nuclear",2020-06-29,30,4506
NGET-EMFIP-AGPT-TS-21613747,Production,"Other",2020-06-29,30,260
NGET-EMFIP-AGPT-TS-21613746,Wind generation,"Wind Onshore",2020-06-29,30,5886.167
NGET-EMFIP-AGPT-TS-21613745,Wind generation,"Wind Offshore",2020-06-29,30,5374.628
NGET-EMFIP-AGPT-TS-21613744,Solar generation,"Solar",2020-06-29,30,3540
NGET-EMFIP-AGPT-TS-21613743,Production,"Biomass",2020-06-29,29,1082
NGET-EMFIP-AGPT-TS-21613742,Production,"Hydro Pumped Storage",2020-06-29,29,395
NGET-EMFIP-AGPT-TS-21613741,Production,"Hydro Run-of-river and poundage",2020-06-29,29,373
NGET-EMFIP-AGPT-TS-21613740,Production,"Fossil Hard coal",2020-06-29,29,0
NGET-EMFIP-AGPT-TS-21613739,Production,"Fossil Gas",2020-06-29,29,6105
NGET-EMFIP-AGPT-TS-21613738,Production,"Fossil Oil",2020-06-29,29,0
NGET-EMFIP-AGPT-TS-21613737,Production,"Nuclear",2020-06-29,29,4510
NGET-EMFIP-AGPT-TS-21613736,Production,"Other",2020-06-29,29,236
NGET-EMFIP-AGPT-TS-21613735,Wind generation,"Wind Onshore",2020-06-29,29,5837.05
NGET-EMFIP-AGPT-TS-21613734,Wind generation,"Wind Offshore",2020-06-29,29,5406.984
NGET-EMFIP-AGPT-TS-21613733,Solar generation,"Solar",2020-06-29,29,3690
NGET-EMFIP-AGPT-TS-21613732,Production,"Biomass",2020-06-29,28,1082
NGET-EMFIP-AGPT-TS-21613731,Production,"Hydro Pumped Storage",2020-06-29,28,367
NGET-EMFIP-AGPT-TS-21613730,Production,"Hydro Run-of-river and poundage",2020-06-29,28,472
NGET-EMFIP-AGPT-TS-21613729,Production,"Fossil Hard coal",2020-06-29,28,0
NGET-EMFIP-AGPT-TS-21613728,Production,"Fossil Gas",2020-06-29,28,6293
NGET-EMFIP-AGPT-TS-21613727,Production,"Fossil Oil",2020-06-29,28,0
NGET-EMFIP-AGPT-TS-21613726,Production,"Nuclear",2020-06-29,28,4517
NGET-EMFIP-AGPT-TS-21613725,Production,"Other",2020-06-29,28,254
NGET-EMFIP-AGPT-TS-21613724,Wind generation,"Wind Onshore",2020-06-29,28,2761.297
NGET-EMFIP-AGPT-TS-21613723,Wind generation,"Wind Offshore",2020-06-29,28,202.408
NGET-EMFIP-AGPT-TS-21613722,Solar generation,"Solar",2020-06-29,28,3660
NGET-EMFIP-AGPT-TS-21613721,Production,"Biomass",2020-06-29,27,1085
NGET-EMFIP-AGPT-TS-21613720,Production,"Hydro Pumped Storage",2020-06-29,27,413
NGET-EMFIP-AGPT-TS-21613719,Production,"Hydro Run-of-river and poundage",2020-06-29,27,472
NGET-EMFIP-AGPT-TS-21613718,Production,"Fossil Hard coal",2020-06-29,27,0
NGET-EMFIP-AGPT-TS-21613717,Production,"Fossil Gas",2020-06-29,27,6123
NGET-EMFIP-AGPT-TS-21613716,Production,"Fossil Oil",2020-06-29,27,0
NGET-EMFIP-AGPT-TS-21613715,Production,"Nuclear",2020-06-29,27,4519
NGET-EMFIP-AGPT-TS-21613714,Production,"Other",2020-06-29,27,267
NGET-EMFIP-AGPT-TS-21613713,Wind generation,"Wind Onshore",2020-06-29,27,5601.298
NGET-EMFIP-AGPT-TS-21613712,Wind generation,"Wind Offshore",2020-06-29,27,5350.45
NGET-EMFIP-AGPT-TS-21613711,Solar generation,"Solar",2020-06-29,27,3700
NGET-EMFIP-AGPT-TS-21613710,Production,"Biomass",2020-06-29,26,1084
NGET-EMFIP-AGPT-TS-21613709,Production,"Hydro Pumped Storage",2020-06-29,26,366
NGET-EMFIP-AGPT-TS-21613708,Production,"Hydro Run-of-river and poundage",2020-06-29,26,475
NGET-EMFIP-AGPT-TS-21613707,Production,"Fossil Hard coal",2020-06-29,26,0
NGET-EMFIP-AGPT-TS-21613706,Production,"Fossil Gas",2020-06-29,26,5923
NGET-EMFIP-AGPT-TS-21613705,Production,"Fossil Oil",2020-06-29,26,0
NGET-EMFIP-AGPT-TS-21613704,Production,"Nuclear",2020-06-29,26,4515
NGET-EMFIP-AGPT-TS-21613703,Production,"Other",2020-06-29,26,199
NGET-EMFIP-AGPT-TS-21613702,Wind generation,"Wind Onshore",2020-06-29,26,5665.575
NGET-EMFIP-AGPT-TS-21613701,Wind generation,"Wind Offshore",2020-06-29,26,5406.744
NGET-EMFIP-AGPT-TS-21613700,Solar generation,"Solar",2020-06-29,26,3740
NGET-EMFIP-AGPT-TS-21613699,Production,"Biomass",2020-06-29,25,1086
NGET-EMFIP-AGPT-TS-21613698,Production,"Hydro Pumped Storage",2020-06-29,25,366
NGET-EMFIP-AGPT-TS-21613697,Production,"Hydro Run-of-river and poundage",2020-06-29,25,464
NGET-EMFIP-AGPT-TS-21613696,Production,"Fossil Hard coal",2020-06-29,25,0
NGET-EMFIP-AGPT-TS-21613695,Production,"Fossil Gas",2020-06-29,25,5897
NGET-EMFIP-AGPT-TS-21613694,Production,"Fossil Oil",2020-06-29,25,0
NGET-EMFIP-AGPT-TS-21613693,Production,"Nuclear",2020-06-29,25,4513
NGET-EMFIP-AGPT-TS-21613692,Production,"Other",2020-06-29,25,191
NGET-EMFIP-AGPT-TS-21613691,Wind generation,"Wind Onshore",2020-06-29,25,5585.749
NGET-EMFIP-AGPT-TS-21613690,Wind generation,"Wind Offshore",2020-06-29,25,5431.327
NGET-EMFIP-AGPT-TS-21613689,Solar generation,"Solar",2020-06-29,25,3700
NGET-EMFIP-AGPT-TS-21613688,Production,"Biomass",2020-06-29,24,1078
NGET-EMFIP-AGPT-TS-21613687,Production,"Hydro Pumped Storage",2020-06-29,24,366
NGET-EMFIP-AGPT-TS-21613686,Production,"Hydro Run-of-river and poundage",2020-06-29,24,460
